shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
5000,39.81505138997656,-0.16403987053175229,83
5000,39.82867892078602,-0.15992914760443,84
5000,39.84208794534953,-0.15599409007612053,85
5000,39.85113206135733,-0.15331647258346948,86
5000,39.85239981379186,-0.15268403918116746,87
5000,39.853802406223934,-0.15177052426730597,88
5000,39.85555560645918,-0.14983808887168948,89
5000,39.86335387805633,-0.141227584084902,90
5000,39.86654608419718,-0.13772796031474854,91
5000,39.870483247709586,-0.1333360616883965,92
5000,39.88220620435544,-0.1201582968400885,93
5000,39.89212734224921,-0.10891514714575123,94
5000,39.89536302338749,-0.10529521965827371,95
5000,39.896575517480386,-0.10396761566579471,96
5000,39.89746676508591,-0.10323464395301585,97
5000,39.89851714917006,-0.1027091170651886,98
5000,39.89996007479337,-0.1022112494865155,99
5000,39.907218376382616,-0.10234363642877042,100
5000,39.92197059159537,-0.10292488742155115,101
5000,39.924367893062964,-0.10285002642274321,102
5000,39.92558804538416,-0.10247566194973956,103
